,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,output_type,gtex_tissue,histone_mark,transcription_factor
0,CL:0000084 ATAC-seq,.,ATAC-seq,CL:0000084,T-cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
1,CL:0000100 ATAC-seq,.,ATAC-seq,CL:0000100,motor neuron,in_vitro_differentiated_cells,adult,encode,paired,False,OutputType.ATAC,,,
2,CL:0000236 ATAC-seq,.,ATAC-seq,CL:0000236,B cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
3,CL:0000623 ATAC-seq,.,ATAC-seq,CL:0000623,natural killer cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
4,CL:0000624 ATAC-seq,.,ATAC-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
5,CL:0000625 ATAC-seq,.,ATAC-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
6,CL:0000787 ATAC-seq,.,ATAC-seq,CL:0000787,memory B cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
7,CL:0000788 ATAC-seq,.,ATAC-seq,CL:0000788,naive B cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
8,CL:0000792 ATAC-seq,.,ATAC-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
9,CL:0000895 ATAC-seq,.,ATAC-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
10,CL:0000899 ATAC-seq,.,ATAC-seq,CL:0000899,T-helper 17 cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
11,CL:0000900 ATAC-seq,.,ATAC-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
12,CL:0000907 ATAC-seq,.,ATAC-seq,CL:0000907,"central memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
13,CL:0000913 ATAC-seq,.,ATAC-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
14,CL:1001606 ATAC-seq,.,ATAC-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,encode,paired,False,OutputType.ATAC,,,
15,CLO:0013950 ATAC-seq,.,ATAC-seq,CLO:0013950,GM21619,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
16,CLO:0014043 ATAC-seq,.,ATAC-seq,CLO:0014043,GM21717,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
17,CLO:0014078 ATAC-seq,.,ATAC-seq,CLO:0014078,GM21529,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
18,CLO:0014080 ATAC-seq,.,ATAC-seq,CLO:0014080,GM21528,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
19,CLO:0014083 ATAC-seq,.,ATAC-seq,CLO:0014083,GM21526,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
20,CLO:0014097 ATAC-seq,.,ATAC-seq,CLO:0014097,GM21576,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
21,CLO:0014163 ATAC-seq,.,ATAC-seq,CLO:0014163,GM21447,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
22,CLO:0014886 ATAC-seq,.,ATAC-seq,CLO:0014886,GM21723,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
23,CLO:0014941 ATAC-seq,.,ATAC-seq,CLO:0014941,GM21825,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
24,CLO:0015884 ATAC-seq,.,ATAC-seq,CLO:0015884,GM21390,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
25,CLO:0015895 ATAC-seq,.,ATAC-seq,CLO:0015895,GM21381,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
26,CLO:0015900 ATAC-seq,.,ATAC-seq,CLO:0015900,GM21367,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
27,CLO:0015908 ATAC-seq,.,ATAC-seq,CLO:0015908,GM21360,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
28,CLO:0015947 ATAC-seq,.,ATAC-seq,CLO:0015947,GM21423,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
29,CLO:0024877 ATAC-seq,.,ATAC-seq,CLO:0024877,GM18511,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
30,CLO:0024886 ATAC-seq,.,ATAC-seq,CLO:0024886,GM18519,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
31,CLO:0024890 ATAC-seq,.,ATAC-seq,CLO:0024890,GM18517,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
32,CLO:0024898 ATAC-seq,.,ATAC-seq,CLO:0024898,GM18520,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
33,CLO:0024919 ATAC-seq,.,ATAC-seq,CLO:0024919,GM18508,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
34,CLO:0024933 ATAC-seq,.,ATAC-seq,CLO:0024933,GM18499,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
35,CLO:0024937 ATAC-seq,.,ATAC-seq,CLO:0024937,GM18498,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
36,CLO:0025816 ATAC-seq,.,ATAC-seq,CLO:0025816,GM19035,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
37,CLO:0026238 ATAC-seq,.,ATAC-seq,CLO:0026238,GM18907,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
38,CLO:0026245 ATAC-seq,.,ATAC-seq,CLO:0026245,GM18873,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
39,CLO:0026249 ATAC-seq,.,ATAC-seq,CLO:0026249,GM18870,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
40,CLO:0026250 ATAC-seq,.,ATAC-seq,CLO:0026250,GM18867,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
41,CLO:0026253 ATAC-seq,.,ATAC-seq,CLO:0026253,GM18868,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
42,CLO:0026256 ATAC-seq,.,ATAC-seq,CLO:0026256,GM18861,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
43,CLO:0026258 ATAC-seq,.,ATAC-seq,CLO:0026258,GM18858,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
44,CLO:0026782 ATAC-seq,.,ATAC-seq,CLO:0026782,GM19397,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
45,CLO:0026790 ATAC-seq,.,ATAC-seq,CLO:0026790,GM19395,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
46,CLO:0026824 ATAC-seq,.,ATAC-seq,CLO:0026824,GM19438,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
47,CLO:0026846 ATAC-seq,.,ATAC-seq,CLO:0026846,GM19452,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
